date,state,disease,value
2025-04-12T00:00:00.000,California,Influenza,422.0
2025-04-12T00:00:00.000,California,value,625.0
2025-04-19T00:00:00.000,California,COVID-19,543.0
2025-04-19T00:00:00.000,California,Influenza,354.0
2025-04-19T00:00:00.000,California,value,543.0
2025-04-26T00:00:00.000,California,COVID-19,550.0
2025-04-26T00:00:00.000,California,Influenza,255.0
2025-04-26T00:00:00.000,California,value,550.0
2025-05-03T00:00:00.000,California,COVID-19,483.0
2025-05-03T00:00:00.000,California,Influenza,243.0
2025-05-03T00:00:00.000,California,value,483.0
2025-05-10T00:00:00.000,California,COVID-19,512.0
2025-05-10T00:00:00.000,California,Influenza,182.0
2025-05-10T00:00:00.000,California,value,512.0
2025-05-17T00:00:00.000,California,COVID-19,514.0
2025-05-17T00:00:00.000,California,Influenza,173.0
2025-05-17T00:00:00.000,California,value,514.0
2025-05-24T00:00:00.000,California,COVID-19,595.0
2025-05-24T00:00:00.000,California,Influenza,186.0
2025-05-24T00:00:00.000,California,value,595.0
2025-05-31T00:00:00.000,California,COVID-19,625.0
2025-05-31T00:00:00.000,California,Influenza,193.0
2025-05-31T00:00:00.000,California,value,625.0
2025-06-07T00:00:00.000,California,COVID-19,623.0
2025-06-07T00:00:00.000,California,Influenza,149.0
2025-06-07T00:00:00.000,California,value,623.0
2025-06-14T00:00:00.000,California,COVID-19,552.0
2025-06-14T00:00:00.000,California,Influenza,158.0
2025-06-14T00:00:00.000,California,value,552.0
2025-06-21T00:00:00.000,California,COVID-19,580.0
2025-06-21T00:00:00.000,California,Influenza,124.0
2025-06-21T00:00:00.000,California,value,580.0
2025-06-28T00:00:00.000,California,COVID-19,588.0
2025-06-28T00:00:00.000,California,Influenza,98.0
2025-06-28T00:00:00.000,California,value,588.0
2025-07-05T00:00:00.000,California,COVID-19,631.0
2025-07-05T00:00:00.000,California,Influenza,86.0
2025-07-05T00:00:00.000,California,value,631.0
2025-07-12T00:00:00.000,California,COVID-19,686.0
2025-07-12T00:00:00.000,California,Influenza,105.0
2025-07-12T00:00:00.000,California,value,686.0
2025-07-19T00:00:00.000,California,COVID-19,746.0
2025-07-19T00:00:00.000,California,Influenza,73.0
2025-07-19T00:00:00.000,California,value,746.0
2025-07-26T00:00:00.000,California,COVID-19,757.0
2025-07-26T00:00:00.000,California,Influenza,67.0
2025-07-26T00:00:00.000,California,value,757.0
2025-08-02T00:00:00.000,California,COVID-19,944.0
2025-08-02T00:00:00.000,California,Influenza,71.0
2025-08-02T00:00:00.000,California,value,944.0
2025-08-09T00:00:00.000,California,COVID-19,1063.0
2025-08-09T00:00:00.000,California,Influenza,66.0
2025-08-09T00:00:00.000,California,value,1063.0
2025-08-16T00:00:00.000,California,COVID-19,1220.0
2025-08-16T00:00:00.000,California,Influenza,74.0
2025-08-16T00:00:00.000,California,value,1220.0
2025-08-23T00:00:00.000,California,COVID-19,1535.0
2025-08-23T00:00:00.000,California,Influenza,72.0
2025-08-23T00:00:00.000,California,value,1535.0
2025-08-30T00:00:00.000,California,COVID-19,1637.0
2025-08-30T00:00:00.000,California,Influenza,90.0
2025-08-30T00:00:00.000,California,value,1637.0
2025-09-06T00:00:00.000,California,COVID-19,1722.0
2025-09-06T00:00:00.000,California,Influenza,91.0
2025-09-06T00:00:00.000,California,value,1722.0
2025-09-13T00:00:00.000,California,COVID-19,1664.0
2025-09-13T00:00:00.000,California,Influenza,90.0
2025-09-13T00:00:00.000,California,value,1664.0
2025-09-20T00:00:00.000,California,COVID-19,1369.0
2025-09-20T00:00:00.000,California,Influenza,83.0
2025-09-20T00:00:00.000,California,value,1369.0
2025-09-27T00:00:00.000,California,COVID-19,1195.0
2025-09-27T00:00:00.000,California,Influenza,105.0
2025-09-27T00:00:00.000,California,value,1195.0
2025-10-04T00:00:00.000,Kansas,COVID-19,49.0
