date,state,disease,value
2024-09-20,Connecticut,COVID-19,0.8406
2024-09-20,Connecticut,Influenza,1.0998000000000001
2024-09-20,Delaware,COVID-19,0.8176
2024-09-20,Delaware,Influenza,NA
2024-09-20,District of Columbia,COVID-19,0.8681
2024-09-20,District of Columbia,Influenza,NA
2024-09-20,Florida,COVID-19,0.7985
2024-09-20,Florida,Influenza,0.9957
2024-09-20,Georgia,COVID-19,0.782
2024-09-20,Georgia,Influenza,0.9719
2024-09-20,Hawaii,COVID-19,0.878
2024-09-20,Hawaii,Influenza,0.9269
2024-09-20,Idaho,COVID-19,0.852
2024-09-20,Idaho,Influenza,1.0457
2024-09-20,Illinois,COVID-19,0.8408
2024-09-20,Illinois,Influenza,1.0767
2024-09-20,Indiana,COVID-19,0.8423
2024-09-20,Indiana,Influenza,1.0376
2024-09-20,Iowa,COVID-19,0.806
2024-09-20,Iowa,Influenza,0.9197
2024-09-20,Kansas,COVID-19,0.9168
2024-09-20,Kansas,Influenza,0.9834
2024-09-20,Kentucky,COVID-19,NA
2024-09-20,Kentucky,Influenza,NA
2024-09-20,Louisiana,COVID-19,0.8323
2024-09-20,Louisiana,Influenza,0.9355
2024-09-20,Maine,COVID-19,0.887
2024-09-20,Maine,Influenza,NA
2024-09-20,Maryland,COVID-19,NA
2024-09-20,Maryland,Influenza,NA
2024-09-20,Massachusetts,COVID-19,0.8623
2024-09-20,Massachusetts,Influenza,1.0812
2024-09-20,Michigan,COVID-19,0.8313
2024-09-20,Michigan,Influenza,1.0041
2024-09-20,Minnesota,COVID-19,0.8718
2024-09-20,Minnesota,Influenza,0.9942
2024-09-20,Mississippi,COVID-19,0.8517
2024-09-20,Mississippi,Influenza,1.0493
2024-09-20,Missouri,COVID-19,NA
2024-09-20,Missouri,Influenza,NA
2024-09-20,Montana,COVID-19,0.9195
2024-09-20,Montana,Influenza,NA
2024-09-20,Nebraska,COVID-19,0.9001
2024-09-20,Nebraska,Influenza,NA
2024-09-20,Nevada,COVID-19,0.8502
2024-09-20,Nevada,Influenza,1.0089
2024-09-20,New Hampshire,COVID-19,0.9414
2024-09-20,New Hampshire,Influenza,1.0376
2024-09-20,New Jersey,COVID-19,0.8273
2024-09-20,New Jersey,Influenza,0.9946
2024-09-20,New Mexico,COVID-19,0.9736
2024-09-20,New Mexico,Influenza,1.0474
2024-09-20,New York,COVID-19,0.82
2024-09-20,New York,Influenza,0.9372
2024-09-20,North Carolina,COVID-19,0.7875
2024-09-20,North Carolina,Influenza,0.9304
2024-09-20,North Dakota,COVID-19,0.9418
2024-09-20,North Dakota,Influenza,NA
2024-09-20,Ohio,COVID-19,0.7361
2024-09-20,Ohio,Influenza,0.9894
2024-09-20,Oklahoma,COVID-19,0.8841
2024-09-20,Oklahoma,Influenza,1.0194
2024-09-20,Oregon,COVID-19,0.8637
2024-09-20,Oregon,Influenza,1.0339
2024-09-20,Pennsylvania,COVID-19,0.7842
2024-09-20,Pennsylvania,Influenza,1.0038
2024-09-20,Rhode Island,COVID-19,0.9224
2024-09-20,Rhode Island,Influenza,NA
2024-09-20,South Carolina,COVID-19,0.7966
2024-09-20,South Carolina,Influenza,1.0443
2024-09-20,South Dakota,COVID-19,0.9038
2024-09-20,South Dakota,Influenza,NA
2024-09-20,Tennessee,COVID-19,0.8208
2024-09-20,Tennessee,Influenza,1.03
2024-09-20,Texas,COVID-19,0.8364
2024-09-20,Texas,Influenza,0.997
2024-09-20,United States,COVID-19,0.8778
2024-09-20,United States,Influenza,0.9876
2024-09-20,Utah,COVID-19,0.8702
2024-09-20,Utah,Influenza,1.0015
2024-09-20,Vermont,COVID-19,0.8913
2024-09-20,Vermont,Influenza,NA
2024-09-20,Virginia,COVID-19,0.8046
2024-09-20,Virginia,Influenza,1.0254
2024-09-20,Washington,COVID-19,0.889
2024-09-20,Washington,Influenza,1.0485
2024-09-20,West Virginia,COVID-19,0.7783
2024-09-20,West Virginia,Influenza,1.0624
2024-09-20,Wisconsin,COVID-19,NA
2024-09-20,Wisconsin,Influenza,NA
2024-09-20,Wyoming,COVID-19,NA
2024-09-20,Wyoming,Influenza,NA
2024-09-21,Alabama,COVID-19,0.9234
2024-09-21,Alabama,Influenza,1.0268
2024-09-21,Alaska,COVID-19,0.8202
2024-09-21,Alaska,Influenza,0.8815
2024-09-21,Arizona,COVID-19,0.9433
2024-09-21,Arizona,Influenza,1.1704
2024-09-21,Arkansas,COVID-19,0.8113
2024-09-21,Arkansas,Influenza,0.9634
2024-09-21,California,COVID-19,0.896
2024-09-21,California,Influenza,1
2024-09-21,Colorado,COVID-19,0.9288
2024-09-21,Colorado,Influenza,1.1051
2024-09-21,Connecticut,COVID-19,0.8467
2024-09-21,Connecticut,Influenza,1.1009
2024-09-21,Delaware,COVID-19,0.8208
2024-09-21,Delaware,Influenza,NA
2024-09-21,District of Columbia,COVID-19,0.8686
2024-09-21,District of Columbia,Influenza,NA
2024-09-21,Florida,COVID-19,0.8057
2024-09-21,Florida,Influenza,0.9951
2024-09-21,Georgia,COVID-19,0.7917
2024-09-21,Georgia,Influenza,0.9756
2024-09-21,Hawaii,COVID-19,0.8782
2024-09-21,Hawaii,Influenza,0.927
2024-09-21,Idaho,COVID-19,0.8537
2024-09-21,Idaho,Influenza,1.047
2024-09-21,Illinois,COVID-19,0.8451
2024-09-21,Illinois,Influenza,1.0771
2024-09-21,Indiana,COVID-19,0.8479
2024-09-21,Indiana,Influenza,1.0375
2024-09-21,Iowa,COVID-19,0.8103
2024-09-21,Iowa,Influenza,0.9199
2024-09-21,Kansas,COVID-19,0.9178
2024-09-21,Kansas,Influenza,0.9853
2024-09-21,Kentucky,COVID-19,NA
2024-09-21,Kentucky,Influenza,NA
2024-09-21,Louisiana,COVID-19,0.8375
2024-09-21,Louisiana,Influenza,0.9398
2024-09-21,Maine,COVID-19,0.8895
2024-09-21,Maine,Influenza,NA
2024-09-21,Maryland,COVID-19,NA
2024-09-21,Maryland,Influenza,NA
2024-09-21,Massachusetts,COVID-19,0.8656
2024-09-21,Massachusetts,Influenza,1.0819
